MATNR,MAKTX,WERKS,LGORT,BUDAT,OPENING_STOCK,LABST,DEMAND,GR_QTY,GI_QTY,PLIFZ,MINBE,EISBE,LIFNR,NAME1,OPEN_PO_QTY,EINDT
100001,Bearing Assembly 50mm,1000,0001,2024-01-01,1260.0,754.0,506.0,0.0,506.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-02-01,754.0,336.0,418.0,0.0,418.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-03-01,336.0,1276.0,320.0,1260.0,320.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-04-01,1276.0,1004.0,272.0,0.0,272.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-05-01,1004.0,758.0,246.0,0.0,246.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-06-01,758.0,475.0,283.0,0.0,283.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-07-01,475.0,1396.0,339.0,1260.0,339.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-08-01,1396.0,1000.0,396.0,0.0,396.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-09-01,1000.0,498.0,502.0,0.0,502.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-10-01,498.0,1184.0,574.0,1260.0,574.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-11-01,1184.0,601.0,583.0,0.0,583.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2024-12-01,601.0,23.0,578.0,0.0,578.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-01-01,23.0,792.0,491.0,1260.0,491.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-02-01,792.0,367.0,425.0,0.0,425.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-03-01,367.0,1287.0,340.0,1260.0,340.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-04-01,1287.0,1004.0,283.0,0.0,283.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-05-01,1004.0,766.0,238.0,0.0,238.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-06-01,766.0,491.0,275.0,0.0,275.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-07-01,491.0,1394.0,357.0,1260.0,357.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-08-01,1394.0,960.0,434.0,0.0,434.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-09-01,960.0,479.0,481.0,0.0,481.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-10-01,479.0,1158.0,581.0,1260.0,581.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-11-01,1158.0,592.0,566.0,0.0,566.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2025-12-01,592.0,44.0,548.0,0.0,548.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2026-01-01,44.0,778.0,526.0,1260.0,526.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2026-02-01,778.0,349.0,429.0,0.0,429.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2026-03-01,349.0,1261.0,348.0,1260.0,348.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2026-04-01,1261.0,988.0,273.0,0.0,273.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
100001,Bearing Assembly 50mm,1000,0001,2026-05-01,988.0,746.0,242.0,0.0,242.0,21,520.0,180.0,0000300001,Nordwind Industrieteile GmbH,,
